field1	field2	field3	field4	field5	field6	field7	field8	field9	field10	field11	field12	field13	field14	field15	field16	field17	field18	field19	field20	field21	field22	$N-field2
1153	1	3	4	7	9	12	15	19	24	27	31	33	35	38	40	45	48	51	53	59		1.883
1154	3	1	4	6	9	12	16	21	24	28	30	32	35	37	42	45	48	50	56	59		2.953
1155	1	3	5	8	11	15	20	23	27	29	31	34	36	41	44	47	49	55	58	60		1.171
1156	3	2	5	8	12	17	20	24	26	28	31	33	38	41	44	46	52	55	57	59		2.838
1157	2	3	6	10	15	18	22	24	26	29	31	36	39	42	44	50	53	55	57	58		2.446
1158	3	3	7	12	15	19	21	23	26	28	33	36	39	41	47	50	52	54	55	57		3.122
1159	3	4	9	12	16	18	20	23	25	30	33	36	38	44	47	49	51	52	54	56		3.057
1160	4	5	8	12	14	16	19	21	26	29	32	34	40	43	45	47	48	50	52	55		2.882
1161	5	3	7	9	11	14	16	21	24	27	29	35	38	40	42	43	45	47	50	51		4.703
1162	3	4	6	8	11	13	18	21	24	26	32	35	37	39	40	42	44	47	48	52		3.058
1163	4	2	4	7	9	14	17	20	22	28	31	33	35	36	38	40	43	44	48	51		3.748
1164	2	2	5	7	12	15	18	20	26	29	31	33	34	36	38	41	42	46	49	51		2.043
1165	2	3	5	10	13	16	18	24	27	29	31	32	34	36	39	40	44	47	49	52		5.892
1166	3	2	7	10	13	15	21	24	26	28	29	31	33	36	37	41	44	46	49	53		2.923
1167	2	5	8	11	13	19	22	24	26	27	29	31	34	35	39	42	44	47	51	53		3.444
1168	5	3	6	8	14	17	19	21	22	24	26	29	30	34	37	39	42	46	48	51		4.899
1169	3	3	5	11	14	16	18	19	21	23	26	27	31	34	36	39	43	45	48	52		2.921
1170	3	2	8	11	13	15	16	18	20	23	24	28	31	33	36	40	42	45	49	53		2.943
1171	2	6	9	11	13	14	16	18	21	22	26	29	31	34	38	40	43	47	51	51		1.788
1172	6	3	5	7	8	10	12	15	16	20	23	25	28	32	34	37	41	45	45	49		4.966
1173	3	2	4	5	7	9	12	13	17	20	22	25	29	31	34	38	42	42	46	49		2.199
1174	2	2	3	5	7	10	11	15	18	20	23	27	29	32	36	40	40	44	47	50		2.987
1175	2	1	3	5	8	9	13	16	18	21	25	27	30	34	38	38	42	45	48	51		1.605
1176	1	2	4	7	8	12	15	17	20	24	26	29	33	37	37	41	44	47	50	52		1.032
1177	2	2	5	6	10	13	15	18	22	24	27	31	35	35	39	42	45	48	50	55		1.757
1178	2	3	4	8	11	13	16	20	22	25	29	33	33	37	40	43	46	48	53	56		2.380
1179	3	1	5	8	10	13	17	19	22	26	30	30	34	37	40	43	45	50	53	56		2.837
1180	1	4	7	9	12	16	18	21	25	29	29	33	36	39	42	44	49	52	55	59		0.782
1181	4	3	5	8	12	14	17	21	25	25	29	32	35	38	40	45	48	51	55	60		4.589
1182	3	2	5	9	11	14	18	22	22	26	29	32	35	37	42	45	48	52	57	60		3.206
1183	2	3	7	9	12	16	20	20	24	27	30	33	35	40	43	46	50	55	58	61		2.433
1184	3	4	6	9	13	17	17	21	24	27	30	32	37	40	43	47	52	55	58	61		3.081
1185	4	2	5	9	13	13	17	20	23	26	28	33	36	39	43	48	51	54	57	60		4.015
1186	2	3	7	11	11	15	18	21	24	26	31	34	37	41	46	49	52	55	58	60		1.918
1187	3	4	8	8	12	15	18	21	23	28	31	34	38	43	46	49	52	55	57	60		2.613
1188	4	4	4	8	11	14	17	19	24	27	30	34	39	42	45	48	51	53	56	59		3.895
1189	4	0	4	7	10	13	15	20	23	26	30	35	38	41	44	47	49	52	55	58		3.896
1190	0	4	7	10	13	15	20	23	26	30	35	38	41	44	47	49	52	55	58	60		3.763
1191	4	3	6	9	11	16	19	22	26	31	34	37	40	43	45	48	51	54	56	59		4.373
1192	3	3	6	8	13	16	19	23	28	31	34	37	40	42	45	48	51	53	56	60		-0.178
1193	3	3	5	10	13	16	20	25	28	31	34	37	39	42	45	48	50	53	57	59		2.815
1194	3	2	7	10	13	17	22	25	28	31	34	36	39	42	45	47	50	54	56	60		2.764
1195	2	5	8	11	15	20	23	26	29	32	34	37	40	43	45	48	52	54	58	59		1.946
1196	5	3	6	10	15	18	21	24	27	29	32	35	38	40	43	47	49	53	54	59		4.906
1197	3	3	7	12	15	18	21	24	26	29	32	35	37	40	44	46	50	51	56	61		2.876
1198	3	4	9	12	15	18	21	23	26	29	32	34	37	41	43	47	48	53	58	61		2.939
1199	4	5	8	11	14	17	19	22	25	28	30	33	37	39	43	44	49	54	57	61		3.666
1200	5	3	6	9	12	14	17	20	23	25	28	32	34	38	39	44	49	52	56	59		5.068
1201	3	3	6	9	11	14	17	20	22	25	29	31	35	36	41	46	49	53	56	59		3.111
1202	3	3	6	8	11	14	17	19	22	26	28	32	33	38	43	46	50	53	56	58		3.380
1203	3	3	5	8	11	14	16	19	23	25	29	30	35	40	43	47	50	53	55	56		2.790
1204	3	2	5	8	11	13	16	20	22	26	27	32	37	40	44	47	50	52	53	55		2.752
1205	2	3	6	9	11	14	18	20	24	25	30	35	38	42	45	48	50	51	53	55		2.116
1206	3	3	6	8	11	15	17	21	22	27	32	35	39	42	45	47	48	50	52	54		2.803
1207	3	3	5	8	12	14	18	19	24	29	32	36	39	42	44	45	47	49	51	54		3.022
